athlete_id,athlete_name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,source,country_from_noc,country_name,iso3,is_medal,is_gold,medal_score
141832,Giovanni Lombardi,M,,,,Italy,ITA,,1992,Summer,Barcelona,Cycling,Cycling Men's Points Race,Gold,olympics_dataset_1896_2024,Italy,Italy,ITA,1,1,3
141833,Pietro Lombardi,M,,,,Italy,ITA,,1948,Summer,London,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,olympics_dataset_1896_2024,Italy,Italy,ITA,1,1,3
141845,Charles Lomberg,M,,,,Sweden,SWE,,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,Silver,olympics_dataset_1896_2024,Sweden,Sweden,SWE,1,0,2
141857,Shota Lomidze,M,,,,Soviet Union,URS,,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,olympics_dataset_1896_2024,Russia,Soviet Union,URS,1,0,2
141861,Oiva Lommi,M,,,,Finland,FIN,,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Fours,Bronze,olympics_dataset_1896_2024,Finland,Finland,FIN,1,0,1
141900,Axel Londen,M,,,,Finland,FIN,,1912,Summer,Stockholm,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,olympics_dataset_1896_2024,Finland,Finland,FIN,1,0,1
141902,John London,M,,,,Great Britain,GBR,,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,Silver,olympics_dataset_1896_2024,United Kingdom,United Kingdom,GBR,1,0,2
141919,Dallas Iii,M,,,,United States,USA,,1960,Summer,Roma,Athletics,Athletics Men's Shot Put,Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
141920,Dallas Iii,M,,,,United States,USA,,1964,Summer,Tokyo,Athletics,Athletics Men's Shot Put,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
141929,Carl-Ludwig Long,M,,,,Germany,GER,,1936,Summer,Berlin,Athletics,Athletics Men's Long Jump,Silver,olympics_dataset_1896_2024,Germany,Germany,DEU,1,0,2
141931,Matthew Long,M,,,,Australia,AUS,,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,Bronze,olympics_dataset_1896_2024,Australia,Australia,AUS,1,0,1
141932,Maxwell Long,M,,,,United States,USA,,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
141936,Long Qingquan,M,,,,China,CHN,,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Bantamweight,Gold,olympics_dataset_1896_2024,China,China,CHN,1,1,3
141937,Long Qingquan,M,,,,China,CHN,,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,Gold,olympics_dataset_1896_2024,China,China,CHN,1,1,3
142002,Elisa Borghini,F,,,,Italy,ITA,,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",Bronze,olympics_dataset_1896_2024,Italy,Italy,ITA,1,0,1
142006,Jeannie Longo-ciprelli,F,,,,France,FRA,,1992,Summer,Barcelona,Cycling,"Cycling Women's Road Race, Individual",Silver,olympics_dataset_1896_2024,France,France,FRA,1,0,2
142008,Jeannie Longo-ciprelli,F,,,,France,FRA,,1996,Summer,Atlanta,Cycling,"Cycling Women's Road Race, Individual",Gold,olympics_dataset_1896_2024,France,France,FRA,1,1,3
142009,Jeannie Longo-ciprelli,F,,,,France,FRA,,1996,Summer,Atlanta,Cycling,Cycling Women's Individual Time Trial,Silver,olympics_dataset_1896_2024,France,France,FRA,1,0,2
