year,season,noc,iso3,country_name,athletes,female_athletes,male_athletes,female_athlete_share,female_share,avg_age,median_age,avg_height,avg_weight,athlete_event_entries,sports_participated,events_participated
1924,Summer,CHI,CHL,Chile,13,0,13,0.0,0.0,24.125,24.0,171.0,61.0,18,5,12
1924,Summer,CUB,CUB,Cuba,9,0,9,0.0,0.0,39.8,40.0,,,13,2,3
1924,Summer,DEN,DNK,Denmark,89,12,77,0.1348314606741573,0.1348314606741573,30.120253164556964,28.5,172.15384615384616,,158,13,60
1924,Summer,ECU,ECU,Ecuador,3,0,3,0.0,0.0,21.0,21.0,,,4,1,4
1924,Summer,EGY,EGY,Egypt,24,0,24,0.0,0.0,25.285714285714285,23.0,,74.0,30,9,12
1924,Summer,ESP,ESP,Spain,95,2,93,0.021052631578947368,0.021052631578947368,26.03731343283582,26.0,177.5,69.6,151,15,44
1924,Summer,EST,EST,Estonia,37,0,37,0.0,0.0,23.851063829787233,23.0,173.62962962962962,71.39393939393939,47,5,26
1924,Summer,FIN,FIN,Finland,121,0,121,0.0,0.0,29.07905138339921,29.0,176.01030927835052,71.08421052631579,253,12,69
1924,Summer,FRA,FRA,France,401,31,370,0.0773067331670823,0.0773067331670823,31.29835390946502,29.0,172.56976744186048,72.85714285714286,636,20,128
1924,Summer,GBR,GBR,United Kingdom,267,28,239,0.10486891385767791,0.10486891385767791,29.213333333333335,26.0,176.95744680851064,70.95,428,18,115
1924,Summer,GRE,GRC,Greece,39,1,38,0.02564102564102564,0.02564102564102564,32.31818181818182,31.0,180.75,83.33333333333333,79,9,37
1924,Summer,HAI,HAI,Haiti,8,0,8,0.0,0.0,20.5,20.5,171.0,63.5,16,2,9
1924,Summer,HUN,HUN,Hungary,89,3,86,0.033707865168539325,0.033707865168539325,28.85593220338983,27.0,176.6,74.83333333333333,140,12,54
1924,Summer,IND,IND,India,13,1,12,0.07692307692307693,0.07692307692307693,28.666666666666668,25.5,,,24,2,13
1924,Summer,IRL,IRL,Ireland,48,2,46,0.041666666666666664,0.041666666666666664,33.19444444444444,29.0,180.66666666666666,,60,6,29
1924,Summer,ITA,ITA,Italy,200,4,196,0.02,0.02,28.513618677042803,27.0,170.10344827586206,73.21739130434783,333,18,93
1924,Summer,JPN,JPN,Japan,19,0,19,0.0,0.0,22.714285714285715,23.0,167.75,64.75,37,4,21
1924,Summer,LAT,LVA,Latvia,36,0,36,0.0,0.0,24.833333333333332,24.5,,83.5,47,6,23
1924,Summer,LTU,LTU,Lithuania,13,0,13,0.0,0.0,22.77777777777778,22.0,170.0,,13,2,2
1924,Summer,LUX,LUX,Luxembourg,48,2,46,0.041666666666666664,0.041666666666666664,24.074766355140188,24.0,176.5,90.8,122,10,35
1924,Summer,MEX,MEX,Mexico,15,0,15,0.0,0.0,23.333333333333332,24.0,175.0,,28,3,15
1924,Summer,MON,MCO,Monaco,7,0,7,0.0,0.0,27.555555555555557,24.0,,,9,4,6
1924,Summer,NED,NLD,Netherlands,177,9,168,0.05084745762711865,0.05084745762711865,29.6260162601626,26.0,174.42857142857142,69.72727272727273,246,17,81
1924,Summer,NOR,NOR,Norway,62,2,60,0.03225806451612903,0.03225806451612903,32.19047619047619,29.0,177.21428571428572,74.58333333333333,105,10,43
1924,Summer,NZL,NZL,New Zealand,4,1,3,0.25,0.25,19.833333333333332,19.0,168.33333333333334,63.0,6,3,6
1924,Summer,PHI,PHL,Philippines,1,0,1,0.0,0.0,23.0,23.0,,,2,1,2
1924,Summer,POL,POL,Poland,65,1,64,0.015384615384615385,0.015384615384615385,27.645833333333332,28.0,173.86274509803923,70.84313725490196,100,10,38
1924,Summer,POR,PRT,Portugal,28,0,28,0.0,0.0,32.21951219512195,35.0,172.85714285714286,59.0,47,8,16
1924,Summer,ROU,ROU,Romania,35,0,35,0.0,0.0,27.923076923076923,25.0,,,45,4,7
1924,Summer,RSA,ZAF,South Africa,30,0,30,0.0,0.0,27.75,26.0,175.6,61.2,44,7,25
1924,Summer,RUS,RUS,Russia,3,1,2,0.3333333333333333,0.3333333333333333,36.0,36.0,,,3,1,2
1924,Summer,SUI,CHE,Switzerland,141,5,136,0.03546099290780142,0.03546099290780142,27.392857142857142,25.0,171.0,70.25,262,17,74
1924,Summer,SWE,SWE,Sweden,159,13,146,0.08176100628930817,0.08176100628930817,28.68359375,27.0,176.1081081081081,70.4054054054054,256,15,84
1924,Summer,TCH,TCH,Czechia,133,4,129,0.03007518796992481,0.03007518796992481,28.26993865030675,26.0,174.23076923076923,72.0,242,16,75
1924,Summer,TUR,TUR,Turkey,22,0,22,0.0,0.0,25.571428571428573,26.0,,59.0,23,5,11
1924,Summer,URU,URU,Uruguay,26,0,26,0.0,0.0,23.166666666666668,22.0,176.1,75.0,40,4,11
1924,Summer,USA,USA,United States,299,24,275,0.0802675585284281,0.0802675585284281,26.595185995623634,25.0,175.88256227758006,71.00862068965517,459,18,108
