noc,iso3,country_name,sport,year,total_medals,gold_medals,prev_total_medals,prev_gold_medals,rolling3_prev_medals,medal_growth,gold_growth,above_recent_baseline,first_medal_bonus,continuity_bonus,sport_total_medals,sport_total_growth,sport_expansion_penalty,olympic_leap_index
FRG,DEU,Germany,Wrestling,1972,2,0,2.0,2.0,1.6666666666666667,0.0,-2.0,0.33333333333333326,0,1.0,63,12.0,12.0,-2.489255773782877
NED,NLD,Netherlands,Swimming,2016,2,2,4.0,2.0,4.333333333333333,-2.0,0.0,0.0,0,1.0,104,2.0,2.0,-2.494524394094325
GER,DEU,Germany,Wrestling,1904,1,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,1.0,21,18.0,18.0,-2.497659113022555
NED,NLD,Netherlands,Swimming,2004,7,2,8.0,5.0,3.6666666666666665,-1.0,-3.0,3.3333333333333335,0,1.0,97,2.0,2.0,-2.5005752310189235
ESP,ESP,Spain,Athletics,2020,1,0,2.0,1.0,2.0,-1.0,-1.0,0.0,0,1.0,144,3.0,3.0,-2.5009544995579143
BRN,BRN,Bahrain,Athletics,2020,1,0,2.0,1.0,1.5,-1.0,-1.0,0.0,0,1.0,144,3.0,3.0,-2.5009544995579143
ITA,ITA,Italy,Gymnastics,2012,1,0,2.0,1.0,2.0,-1.0,-1.0,0.0,0,0.0,42,0.0,0.0,-2.501640870847388
AUS,AUS,Australia,Triathlon,2012,1,0,2.0,1.0,1.3333333333333333,-1.0,-1.0,0.0,0,0.0,6,0.0,0.0,-2.501640870847388
GBR,GBR,United Kingdom,Rowing,1912,4,2,8.0,4.0,4.5,-4.0,-2.0,0.0,0,1.0,14,-2.0,0.0,-2.518076577154716
USA,USA,United States,Equestrianism,1988,2,0,5.0,3.0,4.0,-3.0,-3.0,0.0,0,1.0,23,5.0,5.0,-2.519167555743208
DEN,DNK,Denmark,Cycling,1996,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,42,12.0,12.0,-2.5214822231292704
JPN,JPN,Japan,Cycling,1996,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,42,12.0,12.0,-2.5214822231292704
SWE,SWE,Sweden,Swimming,1960,1,0,2.0,0.0,2.6666666666666665,-1.0,0.0,0.0,0,1.0,45,6.0,6.0,-2.5261654417708805
BRA,BRA,Brazil,Sailing,2008,2,0,2.0,2.0,2.3333333333333335,0.0,-2.0,0.0,0,1.0,33,0.0,0.0,-2.528314788215476
URS,URS,Soviet Union,Canoeing,1980,8,4,9.0,6.0,7.0,-1.0,-2.0,1.0,0,1.0,33,-7.0,0.0,-2.531332899835829
SLO,SVN,Slovenia,Judo,2020,1,0,2.0,1.0,1.3333333333333333,-1.0,-1.0,0.0,0,1.0,60,4.0,4.0,-2.540626283010896
BRA,BRA,Brazil,Judo,2020,2,0,3.0,1.0,3.3333333333333335,-1.0,-1.0,0.0,0,1.0,60,4.0,4.0,-2.540626283010896
PUR,PRI,Puerto Rico,Athletics,2024,1,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,0.0,145,1.0,1.0,-2.545685674814626
QAT,QAT,Qatar,Athletics,2024,1,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,0.0,145,1.0,1.0,-2.545685674814626
IND,IND,India,Athletics,2024,1,0,1.0,1.0,1.5,0.0,-1.0,0.0,0,0.0,145,1.0,1.0,-2.545685674814626
USA,USA,United States,Rowing,1988,3,0,8.0,2.0,4.0,-5.0,-2.0,0.0,0,1.0,55,13.0,13.0,-2.5570305425083704
AUS,AUS,Australia,Rowing,2000,5,0,6.0,2.0,3.6666666666666665,-1.0,-2.0,1.3333333333333335,0,1.0,42,0.0,0.0,-2.558953074850376
USA,USA,United States,Boxing,1972,4,1,7.0,2.0,5.0,-3.0,-1.0,0.0,0,1.0,47,1.0,1.0,-2.561046010994133
HUN,HUN,Hungary,Wrestling,1948,4,1,4.0,3.0,3.0,0.0,-2.0,1.0,0,1.0,48,6.0,6.0,-2.5665714475766475
GER,DEU,Germany,Athletics,1896,1,0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,35,35.0,35.0,-2.5812504999300345
ITA,ITA,Italy,Fencing,1960,6,2,7.0,3.0,7.0,-1.0,-1.0,0.0,0,1.0,24,3.0,3.0,-2.5883026830528895
ROU,ROU,Romania,Fencing,2020,1,0,1.0,1.0,1.3333333333333333,0.0,-1.0,0.0,0,0.0,36,6.0,6.0,-2.590563157718302
