noc,iso3,country_name,sport,year,total_medals,gold_medals,prev_total_medals,prev_gold_medals,rolling3_prev_medals,medal_growth,gold_growth,above_recent_baseline,first_medal_bonus,continuity_bonus,sport_total_medals,sport_total_growth,sport_expansion_penalty,olympic_leap_index
DEN,DNK,Denmark,Rowing,1912,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,14,-2.0,0.0,2.8651028958796703
USA,USA,United States,Fencing,2016,4,0,1.0,0.0,3.0,3.0,0.0,1.0,0,1.0,30,0.0,0.0,2.8643584239903306
AUS,AUS,Australia,Water Polo,2000,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,3.0,3.0,2.8557867133934964
PRK,PRK,North Korea,Wrestling,1992,3,2,2.0,0.0,1.5,1.0,2.0,1.5,0,1.0,60,-2.0,0.0,2.8539509698622134
USA,USA,United States,Canoeing,1988,2,2,1.0,0.0,1.3333333333333333,1.0,2.0,0.6666666666666667,0,1.0,45,9.0,9.0,2.85325866361181
JAM,JAM,Jamaica,Athletics,1948,3,1,0.0,0.0,0.0,3.0,1.0,3.0,1,1.0,99,12.0,12.0,2.8521343790580493
USA,USA,United States,Equestrianism,1976,4,2,3.0,0.0,2.3333333333333335,1.0,2.0,1.6666666666666665,0,1.0,25,2.0,2.0,2.848725623334398
NOR,NOR,Norway,Athletics,1956,3,1,1.0,0.0,1.0,2.0,1.0,2.0,0,1.0,100,1.0,1.0,2.8416965705262207
JPN,JPN,Japan,Table Tennis,2020,4,1,3.0,0.0,2.0,1.0,1.0,2.0,0,1.0,15,3.0,3.0,2.8398345952111517
POL,POL,Poland,Canoeing,2000,4,0,1.0,0.0,2.3333333333333335,3.0,0.0,1.6666666666666665,0,1.0,48,0.0,0.0,2.834891732519557
SUI,CHE,Switzerland,Rowing,1920,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,15,1.0,1.0,2.8234413561200626
HUN,HUN,Hungary,Fencing,1972,8,2,7.0,2.0,5.0,1.0,0.0,3.0,0,1.0,24,0.0,0.0,2.8190234023318554
AUT,AUT,Austria,Sailing,2000,2,2,2.0,0.0,1.5,0.0,2.0,0.5,0,1.0,33,3.0,3.0,2.8174821937614594
HUN,HUN,Hungary,Modern Pentathlon,1988,2,2,2.0,0.0,1.6666666666666667,0.0,2.0,0.33333333333333326,0,1.0,6,0.0,0.0,2.8109662120594967
TCH,TCH,Czechia,Tennis,1988,3,1,1.0,0.0,1.6666666666666667,2.0,1.0,1.3333333333333333,0,1.0,18,3.0,3.0,2.8106647523988455
CHN,CHN,China,Wrestling,2024,5,0,4.0,0.0,2.3333333333333335,1.0,0.0,2.6666666666666665,0,0.0,72,0.0,0.0,2.8067121678474867
ITA,ITA,Italy,Wrestling,1932,4,1,2.0,0.0,1.5,2.0,1.0,2.5,0,1.0,42,3.0,3.0,2.8049561175819337
USA,USA,United States,Wrestling,1932,5,3,2.0,1.0,4.666666666666667,3.0,2.0,0.33333333333333304,0,1.0,42,3.0,3.0,2.801581760013823
RUS,RUS,Russia,Water Polo,2000,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,1.0,6,3.0,3.0,2.7959035347883763
USA,USA,United States,Diving,1932,12,4,9.0,4.0,9.333333333333334,3.0,0.0,2.666666666666666,0,1.0,12,0.0,0.0,2.7937786060532694
CHN,CHN,China,Sailing,2008,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,33,0.0,0.0,2.7930156162663065
UKR,UKR,Ukraine,Canoeing,2008,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,48,0.0,0.0,2.7930156162663065
AUS,AUS,Australia,Triathlon,2008,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,6,0.0,0.0,2.7930156162663065
MGL,MGL,Mongolia,Boxing,2008,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,44,0.0,0.0,2.7930156162663065
ARG,ARG,Argentina,Cycling,2008,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,54,0.0,0.0,2.7930156162663065
CAN,CAN,Canada,Equestrianism,2008,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,18,0.0,0.0,2.7930156162663065
SWE,SWE,Sweden,Diving,1908,3,1,0.0,0.0,0.0,3.0,1.0,3.0,1,1.0,7,4.0,4.0,2.784636443299783
USA,USA,United States,Canoeing,1948,3,1,1.0,0.0,1.0,2.0,1.0,2.0,0,1.0,27,0.0,0.0,2.7819561290743784
GDR,DEU,Germany,Rowing,1980,14,11,14.0,9.0,10.666666666666666,0.0,2.0,3.333333333333334,0,1.0,42,-18.0,0.0,2.781472337142234
TUR,TUR,Turkey,Weightlifting,1988,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,36,6.0,6.0,2.778509008058886
KOR,KOR,South Korea,Judo,2024,5,0,3.0,0.0,3.0,2.0,0.0,2.0,0,0.0,60,0.0,0.0,2.7773337359114763
BRA,BRA,Brazil,Artistic Gymnastics,2024,4,1,2.0,1.0,2.0,2.0,0.0,2.0,0,0.0,43,0.0,0.0,2.7773337359114763
VEN,VEN,Venezuela,Boxing,1968,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,46,6.0,6.0,2.7766072240959785
SWE,SWE,Sweden,Equestrian,2020,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,0.0,18,18.0,18.0,2.7741645356149816
KOR,KOR,South Korea,Shooting,2004,3,0,1.0,0.0,1.3333333333333333,2.0,0.0,1.6666666666666667,0,1.0,51,0.0,0.0,2.7724364399205434
BEL,BEL,Belgium,Weightlifting,1920,3,1,0.0,0.0,0.0,3.0,1.0,3.0,1,1.0,15,8.0,8.0,2.7718146764908957
KOR,KOR,South Korea,Boxing,1988,4,2,3.0,1.0,2.0,1.0,1.0,2.0,0,1.0,52,4.0,4.0,2.771029795486356
CAN,CAN,Canada,Swimming,1912,2,2,0.0,0.0,0.0,2.0,2.0,2.0,1,1.0,27,9.0,9.0,2.7694254058912438
GDR,DEU,Germany,Athletics,1972,20,8,20.0,8.0,14.0,0.0,0.0,6.0,0,1.0,145,23.0,23.0,2.7647420179629716
POL,POL,Poland,Sailing,1996,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,30,0.0,0.0,2.764455582572064
DEN,DNK,Denmark,Handball,1996,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,0.0,0.0,2.764455582572064
CRO,HRV,Croatia,Handball,1996,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,0.0,0.0,2.764455582572064
AUS,AUS,Australia,Rowing,1928,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,21,1.0,1.0,2.763540514679733
GRE,GRC,Greece,Athletics,1906,7,1,1.0,0.0,5.0,6.0,1.0,2.0,0,1.0,64,-8.0,0.0,2.762694921352926
USA,USA,United States,Synchronized Swimming,1984,2,2,0.0,0.0,0.0,2.0,2.0,2.0,1,1.0,6,6.0,6.0,2.757757832790798
NED,NLD,Netherlands,Sailing,2024,4,2,3.0,1.0,2.6666666666666665,1.0,1.0,1.3333333333333335,0,0.0,30,0.0,0.0,2.7575297413742206
SUI,CHE,Switzerland,Equestrianism,1960,3,0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,15,-3.0,0.0,2.7541332545216086
BUL,BGR,Bulgaria,Wrestling,1960,6,1,4.0,1.0,4.0,2.0,0.0,2.0,0,1.0,48,0.0,0.0,2.7541332545216086
POL,POL,Poland,Athletics,1976,5,3,3.0,1.0,4.333333333333333,2.0,2.0,0.666666666666667,0,1.0,147,2.0,2.0,2.7466985418008227
FRG,DEU,Germany,Equestrianism,1988,5,4,4.0,2.0,6.0,1.0,2.0,0.0,0,1.0,23,5.0,5.0,2.7426284910102283
ITA,ITA,Italy,Fencing,1952,8,3,6.0,1.0,7.666666666666667,2.0,2.0,0.33333333333333304,0,1.0,21,0.0,0.0,2.741942989079532
USA,USA,United States,Athletics,1956,31,16,31.0,15.0,27.666666666666668,0.0,1.0,3.333333333333332,0,1.0,100,1.0,1.0,2.7418003230569887
SWE,SWE,Sweden,Shooting,1908,5,2,2.0,0.0,2.0,3.0,2.0,3.0,0,1.0,45,9.0,9.0,2.7394667785689375
BUL,BGR,Bulgaria,Wrestling,2024,2,2,2.0,0.0,1.3333333333333333,0.0,2.0,0.6666666666666667,0,0.0,72,0.0,0.0,2.737725746836965
KOR,KOR,South Korea,Archery,2016,5,4,4.0,3.0,4.333333333333333,1.0,1.0,0.666666666666667,0,1.0,12,0.0,0.0,2.7374334514151615
POL,POL,Poland,Rowing,2016,2,1,1.0,0.0,1.3333333333333333,1.0,1.0,0.6666666666666667,0,1.0,42,0.0,0.0,2.737433451415161
USA,USA,United States,Golf,2020,2,2,1.0,0.0,3.3333333333333335,1.0,2.0,0.0,0,1.0,6,0.0,0.0,2.736809059787434
SWE,SWE,Sweden,Sailing,1912,4,1,1.0,0.0,1.0,3.0,1.0,3.0,0,1.0,12,3.0,3.0,2.736801678217193
AUS,AUS,Australia,Diving,1924,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,15,0.0,0.0,2.736196622514118
ARG,ARG,Argentina,Polo,1924,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,3,0.0,0.0,2.736196622514118
URU,URU,Uruguay,Football,1924,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,3,0.0,0.0,2.736196622514118
FRA,FRA,France,Handball,2020,2,2,2.0,0.0,1.3333333333333333,0.0,2.0,0.6666666666666667,0,1.0,6,0.0,0.0,2.732519865581907
SWE,SWE,Sweden,Swimming,2024,2,2,1.0,0.0,2.6666666666666665,1.0,2.0,0.0,0,0.0,100,-5.0,0.0,2.708347314900954
USA,USA,United States,Sailing,1932,3,2,2.0,0.0,2.0,1.0,2.0,1.0,0,1.0,11,2.0,2.0,2.707309981496404
GBR,GBR,United Kingdom,Cycling,2004,4,2,4.0,1.0,2.3333333333333335,0.0,1.0,1.6666666666666665,0,1.0,54,1.0,1.0,2.7068388943174635
KAZ,KAZ,Kazakhstan,Shooting,1996,3,0,0.0,0.0,0.0,3.0,0.0,3.0,1,1.0,45,6.0,6.0,2.7054917895587183
CUB,CUB,Cuba,Boxing,2016,6,3,4.0,2.0,6.666666666666667,2.0,1.0,0.0,0,1.0,51,-1.0,0.0,2.703787574442735
ROU,ROU,Romania,Rowing,2020,3,1,1.0,0.0,2.0,2.0,1.0,1.0,0,1.0,42,0.0,0.0,2.7005803907791086
FRA,FRA,France,Canoeing,1948,4,0,1.0,0.0,1.0,3.0,0.0,3.0,0,1.0,27,0.0,0.0,2.699458496737604
ITA,ITA,Italy,Shooting,2024,4,1,1.0,0.0,4.333333333333333,3.0,1.0,0.0,0,0.0,45,0.0,0.0,2.6987728775021993
URS,URS,Soviet Union,Shooting,1980,5,3,3.0,1.0,4.0,2.0,2.0,1.0,0,1.0,21,-7.0,0.0,2.6982712769399737
URS,URS,Soviet Union,Modern Pentathlon,1980,3,2,1.0,0.0,2.0,2.0,2.0,1.0,0,1.0,6,0.0,0.0,2.6982712769399737
ITA,ITA,Italy,Rowing,2020,3,1,2.0,0.0,1.3333333333333333,1.0,1.0,1.6666666666666667,0,1.0,42,0.0,0.0,2.696291196573582
GBR,GBR,United Kingdom,Motorboating,1908,2,2,0.0,0.0,0.0,2.0,2.0,2.0,1,0.0,3,3.0,3.0,2.6939091823383916
ESP,ESP,Spain,Canoeing,2004,2,1,1.0,0.0,1.3333333333333333,1.0,1.0,0.6666666666666667,0,1.0,48,0.0,0.0,2.693821305421083
JPN,JPN,Japan,Athletics,2004,2,2,1.0,1.0,1.3333333333333333,1.0,1.0,0.6666666666666667,0,1.0,136,-3.0,0.0,2.693821305421083
CUB,CUB,Cuba,Athletics,1976,3,2,2.0,0.0,1.6666666666666667,1.0,2.0,1.3333333333333333,0,1.0,147,2.0,2.0,2.6926303772559437
BUL,BGR,Bulgaria,Rowing,1976,3,2,0.0,0.0,0.0,3.0,2.0,3.0,1,1.0,60,30.0,30.0,2.6896032506352405
FRA,FRA,France,Canoeing,2012,2,2,2.0,0.0,2.6666666666666665,0.0,2.0,0.0,0,1.0,48,0.0,0.0,2.687982075447857
FRA,FRA,France,Art Competitions,1924,3,1,1.0,0.0,1.0,2.0,1.0,2.0,0,1.0,14,3.0,3.0,2.684840381464466
CAN,CAN,Canada,Synchronized Swimming,1988,2,2,2.0,0.0,2.0,0.0,2.0,0.0,0,1.0,6,0.0,0.0,2.6740072436274316
UZB,UZB,Uzbekistan,Taekwondo,2020,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,32,0.0,0.0,2.671173698580551
ISR,ISR,Israel,Rhythmic Gymnastics,2020,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,0.0,0.0,2.671173698580551
NOR,NOR,Norway,Beach Volleyball,2020,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,0.0,0.0,2.671173698580551
FRA,FRA,France,Volleyball,2020,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,0.0,0.0,2.671173698580551
FRA,FRA,France,Boxing,1920,3,1,0.0,0.0,0.0,3.0,1.0,3.0,1,1.0,24,9.0,9.0,2.667888479455761
BRA,BRA,Brazil,Shooting,1920,3,1,0.0,0.0,0.0,3.0,1.0,3.0,1,1.0,63,9.0,9.0,2.667888479455761
MAR,MAR,Morocco,Athletics,2004,3,2,4.0,0.0,2.6666666666666665,-1.0,2.0,0.3333333333333335,0,1.0,136,-3.0,0.0,2.6626094409642658
GER,DEU,Germany,Wrestling,1960,4,1,1.0,0.0,4.0,3.0,1.0,0.0,0,1.0,48,0.0,0.0,2.662355154197213
IOA,IOA,Individual Olympic Athletes,Shooting,1992,3,0,0.0,0.0,0.0,3.0,0.0,3.0,1,1.0,39,-5.0,0.0,2.6603603849786848
GER,DEU,Germany,Fencing,2008,2,2,2.0,0.0,2.6666666666666665,0.0,2.0,0.0,0,1.0,30,0.0,0.0,2.657930780566959
AUS,AUS,Australia,Athletics,2008,4,1,3.0,0.0,2.6666666666666665,1.0,1.0,1.3333333333333335,0,1.0,140,4.0,4.0,2.656767215676625
POL,POL,Poland,Weightlifting,1964,4,1,2.0,1.0,1.5,2.0,0.0,2.5,0,1.0,21,0.0,0.0,2.6500660574671158
KEN,KEN,Kenya,Boxing,1972,3,0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,47,1.0,1.0,2.6483769072609884
CHN,CHN,China,Swimming,1988,4,0,0.0,0.0,0.0,4.0,0.0,4.0,1,1.0,125,39.0,39.0,2.6480340797324913
NED,NLD,Netherlands,Judo,2008,5,0,4.0,0.0,2.6666666666666665,1.0,0.0,2.3333333333333335,0,1.0,56,0.0,0.0,2.6475120895881887
AZE,AZE,Azerbaijan,Canoeing,2016,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,0.0,49,1.0,1.0,2.6463605196237854
AUT,AUT,Austria,Judo,1984,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,32,0.0,0.0,2.6448142574665496
KOR,KOR,South Korea,Archery,1984,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,6,0.0,0.0,2.6448142574665496
USA,USA,United States,Volleyball,1984,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,6,0.0,0.0,2.6448142574665496
FRA,FRA,France,Boxing,2008,3,0,1.0,0.0,1.3333333333333333,2.0,0.0,1.6666666666666667,0,1.0,44,0.0,0.0,2.640335985586281
GER,DEU,Germany,Diving,1960,2,2,1.0,0.0,2.3333333333333335,1.0,2.0,0.0,0,1.0,12,0.0,0.0,2.637401863125602
KOR,KOR,South Korea,Shooting,1992,2,2,1.0,0.0,1.0,1.0,2.0,1.0,0,1.0,39,-5.0,0.0,2.6319938866640595
GRN,GRN,Grenada,Athletics,2012,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,143,3.0,3.0,2.6302300117249375
GBR,GBR,United Kingdom,Swimming,1976,3,1,1.0,0.0,1.0,2.0,1.0,2.0,0,1.0,99,-1.0,0.0,2.629255502156184
UKR,UKR,Ukraine,Shooting,2000,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,51,6.0,6.0,2.615416043698159
SLO,SVN,Slovenia,Shooting,2000,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,51,6.0,6.0,2.615416043698159
CAN,CAN,Canada,Triathlon,2000,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,6.0,6.0,2.615416043698159
AZE,AZE,Azerbaijan,Shooting,2000,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,51,6.0,6.0,2.615416043698159
FIN,FIN,Finland,Athletics,1906,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,64,-8.0,0.0,2.6147540392807316
FIN,FIN,Finland,Wrestling,1906,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,12,-9.0,0.0,2.6147540392807316
RUS,RUS,Russia,Swimming,2008,4,1,1.0,0.0,3.6666666666666665,3.0,1.0,0.3333333333333335,0,1.0,104,7.0,7.0,2.612169823825392
URS,URS,Soviet Union,Diving,1980,6,2,3.0,1.0,2.0,3.0,1.0,4.0,0,0.0,12,-1.0,0.0,2.60204949973026
URS,URS,Soviet Union,Modern Pentathlon,1972,3,1,2.0,0.0,2.0,1.0,1.0,1.0,0,1.0,6,0.0,0.0,2.601607049084056
GRE,GRC,Greece,Swimming,1896,6,1,0.0,0.0,0.0,6.0,1.0,6.0,1,1.0,10,10.0,10.0,2.601397954312012
JAM,JAM,Jamaica,Athletics,1952,5,2,3.0,1.0,3.0,2.0,1.0,2.0,0,1.0,99,0.0,0.0,2.6005246997983247
AUS,AUS,Australia,Cycling,1952,3,2,1.0,1.0,1.0,2.0,1.0,2.0,0,1.0,18,0.0,0.0,2.6005246997983247
KAZ,KAZ,Kazakhstan,Boxing,2016,5,1,4.0,1.0,3.0,1.0,0.0,2.0,0,1.0,51,-1.0,0.0,2.5967285352505933
FRA,FRA,France,Boxing,2000,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,48,0.0,0.0,2.5961573830888343
GBR,GBR,United Kingdom,Rowing,2000,3,2,2.0,1.0,2.0,1.0,1.0,1.0,0,1.0,42,0.0,0.0,2.5961573830888343
CMR,CMR,Cameroon,Football,2000,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,6,0.0,0.0,2.5961573830888343
HKG,HKG,Hong Kong,Swimming,2020,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,1.0,105,1.0,1.0,2.5952732461192434
URS,URS,Soviet Union,Football,1956,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,3,0.0,0.0,2.594785623548348
URS,URS,Soviet Union,Modern Pentathlon,1956,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,6,0.0,0.0,2.594785623548348
NZL,NZL,New Zealand,Sailing,1956,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,15,0.0,0.0,2.594785623548348
WIF,WIF,Trinidad,Athletics,1960,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,1.0,102,2.0,2.0,2.5938396158577626
CHN,CHN,China,Fencing,2012,3,2,2.0,1.0,2.3333333333333335,1.0,1.0,0.6666666666666665,0,1.0,30,0.0,0.0,2.5893865290412705
SUI,CHE,Switzerland,Athletics,1924,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,1.0,81,-6.0,0.0,2.5876386801630034
BDI,BDI,Burundi,Athletics,1996,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,132,1.0,1.0,2.582667306664046
ECU,ECU,Ecuador,Athletics,1996,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,132,1.0,1.0,2.582667306664046
CRO,HRV,Croatia,Taekwondo,2008,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,1.0,32,8.0,8.0,2.5800747180275456
ITA,ITA,Italy,Diving,1968,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,12,0.0,0.0,2.576214722095032
ROU,ROU,Romania,Fencing,1968,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,24,0.0,0.0,2.576214722095032
ITA,ITA,Italy,Rowing,1948,4,1,2.0,0.0,2.3333333333333335,2.0,1.0,1.6666666666666665,0,1.0,21,0.0,0.0,2.5750106122106255
ITA,ITA,Italy,Cycling,2016,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,54,-1.0,0.0,2.5723550940997506
UKR,UKR,Ukraine,Gymnastics,2016,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,42,0.0,0.0,2.5723550940997506
FRA,FRA,France,Boxing,1936,2,2,1.0,0.0,1.6666666666666667,1.0,2.0,0.33333333333333326,0,1.0,24,0.0,0.0,2.566458365602104
JPN,JPN,Japan,Wrestling,1984,9,2,6.0,2.0,5.0,3.0,0.0,4.0,0,1.0,60,0.0,0.0,2.564514169183962
GDR,DEU,Germany,Boxing,1980,6,1,2.0,1.0,1.6666666666666667,4.0,0.0,4.333333333333333,0,1.0,44,-3.0,0.0,2.5622348922865155
FRA,FRA,France,Athletics,1920,4,1,2.0,0.0,1.6666666666666667,2.0,1.0,2.333333333333333,0,1.0,87,-6.0,0.0,2.560254382018902
USA,USA,United States,Cycling Track,2020,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,36,36.0,36.0,2.560072433461308
ITA,ITA,Italy,Cycling Track,2020,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,36,36.0,36.0,2.560072433461308
GER,DEU,Germany,Cycling Track,2020,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,36,36.0,36.0,2.560072433461308
IRI,IRN,Iran,Weightlifting,2000,2,2,1.0,0.0,1.3333333333333333,1.0,2.0,0.6666666666666667,0,1.0,45,15.0,15.0,2.5564293447787945
CAN,CAN,Canada,Trampolining,2000,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,1.0,6,6.0,6.0,2.555532865093039
TUR,TUR,Turkey,Archery,2020,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,15,3.0,3.0,2.5521583482216057
TUN,TUN,Tunisia,Swimming,2008,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,104,7.0,7.0,2.550993099070462
AUS,AUS,Australia,Swimming,1992,9,1,3.0,1.0,7.333333333333333,6.0,0.0,1.666666666666667,0,1.0,93,-32.0,0.0,2.5454824904055635
CUB,CUB,Cuba,Taekwondo,2000,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,24,24.0,24.0,2.543309024929556
ITA,ITA,Italy,Shooting,1972,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,27,1.0,1.0,2.5370738879837362
YUG,YUG,Serbia,Boxing,1972,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,47,1.0,1.0,2.5370738879837362
SVK,SVK,Slovakia,Swimming,2000,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,0.0,95,-1.0,0.0,2.536274204483714
GEO,GEO,Georgia,Wrestling,2000,3,0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,48,-12.0,0.0,2.536274204483714
KAZ,KAZ,Kazakhstan,Athletics,2000,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,139,7.0,7.0,2.5352924871330464
EST,EST,Estonia,Wrestling,1924,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,39,8.0,8.0,2.533410342756588
SWE,SWE,Sweden,Art Competitions,1932,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,23,-6.0,0.0,2.523635740071457
KOR,KOR,South Korea,Handball,1988,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,6,0.0,0.0,2.5234406544527093
CUB,CUB,Cuba,Weightlifting,1980,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,30,0.0,0.0,2.523133543928478
NED,NLD,Netherlands,Sailing,1920,3,2,1.0,0.0,1.0,2.0,2.0,2.0,0,1.0,19,7.0,7.0,2.522142148822463
NOR,NOR,Norway,Weightlifting,1972,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,30,9.0,9.0,2.520808599181178
SUI,CHE,Switzerland,Gymnastics,1948,8,3,9.0,1.0,6.333333333333333,-1.0,2.0,1.666666666666667,0,1.0,26,-2.0,0.0,2.5174868580579783
DMA,DMA,Dominica,Athletics,2024,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,145,1.0,1.0,2.5167390849852183
PAK,PAK,Pakistan,Athletics,2024,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,145,1.0,1.0,2.5167390849852183
ESP,ESP,Spain,Equestrianism,1928,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,18,3.0,3.0,2.515342822363281
CHN,CHN,China,Shooting,1992,4,2,2.0,0.0,4.0,2.0,2.0,0.0,0,1.0,39,-5.0,0.0,2.513748940475071
GER,DEU,Germany,Fencing,1992,3,2,1.0,0.0,3.0,2.0,2.0,0.0,0,1.0,24,-8.0,0.0,2.513748940475071
RUS,RUS,Russia,Canoeing,2008,3,1,3.0,0.0,1.6666666666666667,0.0,1.0,1.3333333333333333,0,1.0,48,0.0,0.0,2.5124272538888412
ITA,ITA,Italy,Gymnastics,1906,3,0,0.0,0.0,0.0,3.0,0.0,3.0,1,1.0,12,-23.0,0.0,2.5068590113624323
USA,USA,United States,Sailing,1992,9,1,5.0,1.0,5.0,4.0,0.0,4.0,0,1.0,30,5.0,5.0,2.505865393986201
PRK,PRK,North Korea,Weightlifting,2008,2,1,1.0,0.0,1.3333333333333333,1.0,1.0,0.6666666666666667,0,1.0,45,0.0,0.0,2.505251149886934
CHN,CHN,China,Rowing,2008,2,1,1.0,0.0,1.3333333333333333,1.0,1.0,0.6666666666666667,0,1.0,42,0.0,0.0,2.505251149886934
NZL,NZL,New Zealand,Equestrianism,1996,3,1,2.0,0.0,1.6666666666666667,1.0,1.0,1.3333333333333333,0,1.0,18,0.0,0.0,2.49990610118693
CAN,CAN,Canada,Swimming,2012,3,0,1.0,0.0,1.6666666666666667,2.0,0.0,1.3333333333333333,0,1.0,102,-2.0,0.0,2.490790982634684
ITA,ITA,Italy,Fencing,1972,2,2,2.0,0.0,3.6666666666666665,0.0,2.0,0.0,0,1.0,24,0.0,0.0,2.4903040298068038
AUT,AUT,Austria,Weightlifting,1906,2,1,0.0,0.0,0.0,2.0,1.0,2.0,1,1.0,7,1.0,1.0,2.4865393408466745
USA,USA,United States,Gymnastics,1992,6,1,1.0,0.0,6.0,5.0,1.0,0.0,0,1.0,47,-5.0,0.0,2.4853564636507124
TCH,TCH,Czechia,Art Competitions,1932,2,0,0.0,0.0,0.0,2.0,0.0,2.0,1,1.0,23,-6.0,0.0,2.4830476795046232
POL,POL,Poland,Judo,1988,2,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,33,1.0,1.0,2.482618713387072
YUG,YUG,Serbia,Gymnastics,1924,2,2,0.0,0.0,0.0,2.0,2.0,2.0,1,1.0,27,16.0,16.0,2.4791820053501725
UKR,UKR,Ukraine,Boxing,2000,5,0,2.0,1.0,2.0,3.0,-1.0,3.0,0,1.0,48,0.0,0.0,2.4763910258785935
HUN,HUN,Hungary,Gymnastics,1952,8,2,5.0,1.0,3.3333333333333335,3.0,1.0,4.666666666666666,0,1.0,45,19.0,19.0,2.469061699445052
FRA,FRA,France,Fencing,2024,7,1,5.0,2.0,4.0,2.0,-1.0,3.0,0,0.0,36,0.0,0.0,2.465734005101482
