country_name,noc,period_start,period_end,female_medals_start,female_medals_end,female_medal_growth_total,female_event_opportunity_start,female_event_opportunity_end,female_athlete_share_start,female_athlete_share_end,female_capture_ratio_start,female_capture_ratio_end,opportunity_expansion_component,participation_expansion_component,conversion_improvement_component,unexplained_component,dominant_growth_driver,decomposition_confidence,interpretation_text
Estonia,EST,2008,2020,0.0,2.0,2.0,0.41721854304635764,0.4715909090909091,0.2765957446808511,,0.0,2.120481927710843,0.0,,1.9999999999999998,2.220446049250313e-16,conversion_improvement,low_missing_athlete_share_or_conversion_inputs,"Estonia 2008-2020: female medals moved from 0 to 2 (+2). Dominant descriptive driver: conversion_improvement. Opportunity component 0.0, participation component nan, conversion component 2.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Ethiopia,ETH,1996,2008,2.0,3.0,1.0,0.35793357933579334,0.41721854304635764,0.4444444444444444,0.48148148148148145,1.8625429553264605,1.0272108843537413,0.33126237454768925,0.19427186454564077,-1.2398199533790446,1.7142857142857146,unexplained_or_scale_change,medium,"Ethiopia 1996-2008: female medals moved from 2 to 3 (+1). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.33, participation component 0.19, conversion component -1.24, unexplained/scale component 1.71. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Ethiopia,ETH,2008,2020,3.0,2.0,-1.0,0.41721854304635764,0.4715909090909091,0.48148148148148145,,1.0272108843537413,1.0602409638554215,0.3909632034632034,,0.10903679653679671,-1.5,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Ethiopia 2008-2020: female medals moved from 3 to 2 (-1). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.39, participation component nan, conversion component 0.11, unexplained/scale component -1.5. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Ethiopia,ETH,2020,2024,2.0,2.0,0.0,0.4715909090909091,0.4796747967479675,,,1.0602409638554215,1.0423728813559323,0.03428347536487402,,-0.03428347536487365,-3.677613769070831e-16,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Ethiopia 2020-2024: female medals moved from 2 to 2 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.03, participation component nan, conversion component -0.03, unexplained/scale component -0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Fiji,FIJ,2020,2024,1.0,0.0,-1.0,0.4715909090909091,0.4796747967479675,,,1.0602409638554215,0.0,0.01714173768243701,,-1.017141737682437,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Fiji 2020-2024: female medals moved from 1 to 0 (-1). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.02, participation component nan, conversion component -1.02, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Finland,FIN,1984,1996,1.0,1.0,0.0,0.28054298642533937,0.35793357933579334,0.1511627906976744,0.3815789473684211,0.29704301075268813,0.6984536082474228,0.27586001666468274,1.944782576009122,-0.22064259267380487,-2.0,no_positive_female_medal_growth,low_small_growth,"Finland 1984-1996: female medals moved from 1 to 1 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.28, participation component 1.94, conversion component -0.22, unexplained/scale component -2.0. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Finland,FIN,1996,2008,1.0,2.0,1.0,0.35793357933579334,0.41721854304635764,0.3815789473684211,0.45614035087719296,0.6984536082474228,1.1984126984126984,0.1656311872738446,0.22776701360523385,0.6066017991209215,0.0,conversion_improvement,medium,"Finland 1996-2008: female medals moved from 1 to 2 (+1). Dominant descriptive driver: conversion_improvement. Opportunity component 0.17, participation component 0.23, conversion component 0.61, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Finland,FIN,2008,2020,2.0,1.0,-1.0,0.41721854304635764,0.4715909090909091,0.45614035087719296,,1.1984126984126984,1.0602409638554215,0.2606421356421357,,-0.26064213564213584,-0.9999999999999998,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Finland 2008-2020: female medals moved from 2 to 1 (-1). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.26, participation component nan, conversion component -0.26, unexplained/scale component -1.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
France,FRA,1984,1996,3.0,15.0,12.0,0.28054298642533937,0.35793357933579334,0.20588235294117646,0.3411371237458194,0.38191244239631333,1.1326274728336585,0.8275800499940481,2.5145353887920767,5.009235912565226,3.648648648648649,conversion_improvement,medium,"France 1984-1996: female medals moved from 3 to 15 (+12). Dominant descriptive driver: conversion_improvement. Opportunity component 0.83, participation component 2.51, conversion component 5.01, unexplained/scale component 3.65. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
France,FRA,1996,2008,15.0,7.0,-8.0,0.35793357933579334,0.41721854304635764,0.3411371237458194,0.39158576051779936,1.1326274728336585,0.4092140921409214,2.484467809107669,2.585668648335899,-13.753063286711859,0.6829268292682915,no_positive_female_medal_growth,medium,"France 1996-2008: female medals moved from 15 to 7 (-8). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 2.48, participation component 2.59, conversion component -13.75, unexplained/scale component 0.68. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
France,FRA,2008,2020,7.0,15.0,8.0,0.41721854304635764,0.4715909090909091,0.39158576051779936,,0.4092140921409214,0.9638554216867469,0.9122474747474748,,10.724116161616159,-3.636363636363633,conversion_improvement,low_missing_athlete_share_or_conversion_inputs,"France 2008-2020: female medals moved from 7 to 15 (+8). Dominant descriptive driver: conversion_improvement. Opportunity component 0.91, participation component nan, conversion component 10.72, unexplained/scale component -3.64. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
France,FRA,2020,2024,15.0,23.0,8.0,0.4715909090909091,0.4796747967479675,,,0.9638554216867469,0.7492055084745762,0.2571260652365552,,-3.397751065236555,11.140625,unexplained_or_scale_change,low_missing_athlete_share_or_conversion_inputs,"France 2020-2024: female medals moved from 15 to 23 (+8). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.26, participation component nan, conversion component -3.4, unexplained/scale component 11.14. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
United Kingdom,GBR,1984,1996,10.0,1.0,-9.0,0.28054298642533937,0.35793357933579334,0.32047477744807124,0.38666666666666666,0.963382737576286,0.18625429553264605,2.7586001666468274,2.6352022319506334,-12.927135731930795,-1.466666666666666,no_positive_female_medal_growth,medium,"United Kingdom 1984-1996: female medals moved from 10 to 1 (-9). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 2.76, participation component 2.64, conversion component -12.93, unexplained/scale component -1.47. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
